5个数算24点唯一解 (范围1-20)
----------------------------------------
[168] ['7', '7', '8', '11', '18'] -> (((11 - 8) * (7 + 7)) - 18)
[169] ['7', '7', '7', '10', '18'] -> (((10 - 7) * (7 + 7)) - 18)
[170] ['7', '7', '10', '11', '19'] -> ((((10 + 7) * 11) - 19) / 7)
[171] ['7', '7', '11', '14', '17'] -> ((((14 * 17) + 7) / 7) - 11)
[172] ['7', '7', '8', '8', '15'] -> ((((15 + 7) * 8) - 8) / 7)
[173] ['6', '13', '13', '15', '17'] -> ((((13 * 17) + 13) / 6) - 15)
[174] ['7', '9', '9', '14', '19'] -> (((19 / 7) - (9 / 9)) * 14)
[175] ['7', '9', '9', '9', '11'] -> (((9 / 9) + 11) * (9 - 7))
[176] ['7', '8', '13', '17', '18'] -> ((((13 + 17) * 7) - 18) / 8)
[177] ['7', '7', '12', '19', '19'] -> (((19 / 19) + (7 / 7)) * 12)
[178] ['7', '7', '13', '13', '18'] -> (((7 - (13 / 13)) * 7) - 18)
[179] ['7', '7', '13', '14', '19'] -> ((((14 * 19) - 7) / 7) - 13)
[180] ['7', '7', '14', '14', '16'] -> (((14 / 7) - (7 / 14)) * 16)
[181] ['7', '7', '14', '16', '16'] -> (((16 / 14) + (16 / 7)) * 7)
[182] ['7', '7', '15', '15', '18'] -> (((7 - (15 / 15)) * 7) - 18)
[183] ['7', '13', '13', '13', '13'] -> (((13 * 13) - (13 / 13)) / 7)
[184] ['7', '7', '15', '18', '18'] -> (((18 - 15) * (7 + 7)) - 18)
[185] ['7', '7', '16', '16', '18'] -> (((7 - (16 / 16)) * 7) - 18)
[186] ['7', '7', '18', '18', '18'] -> (((7 - (18 / 18)) * 7) - 18)
[187] ['7', '7', '18', '19', '19'] -> (((7 - (19 / 19)) * 7) - 18)
[188] ['8', '8', '8', '11', '19'] -> (((8 + 8) * 11) - (19 * 8))
[189] ['7', '11', '11', '13', '13'] -> (((13 * 13) - (11 / 11)) / 7)
[190] ['7', '11', '11', '15', '18'] -> (((11 / 11) + 7) * (18 - 15))
[191] ['8', '8', '9', '9', '17'] -> ((((17 + 9) * 8) + 8) / 9)
[192] ['7', '13', '16', '16', '16'] -> (((16 / 16) + 7) * (16 - 13))
[193] ['8', '8', '11', '14', '19'] -> (((14 * 8) + (19 * 8)) / 11)
[194] ['7', '14', '15', '19', '19'] -> ((((15 * 19) - 19) / 7) - 14)
[195] ['7', '14', '19', '19', '19'] -> (((19 / 7) - (19 / 19)) * 14)
[196] ['8', '10', '15', '15', '15'] -> (8 / ((15 / 15) - (10 / 15)))
[197] ['8', '10', '11', '11', '11'] -> (((11 / 11) + 11) * (10 - 8))
[198] ['8', '12', '13', '13', '13'] -> (13 / ((13 / 8) - (13 / 12)))
[199] ['8', '10', '11', '18', '18'] -> (((18 / 18) + 11) * (10 - 8))
[200] ['8', '8', '13', '15', '15'] -> (8 / ((13 / 15) - (8 / 15)))
[201] ['8', '10', '13', '13', '18'] -> ((13 * 18) - ((13 + 8) * 10))
[202] ['8', '10', '10', '11', '19'] -> (((11 / 10) + (19 / 10)) * 8)
[203] ['8', '10', '10', '18', '19'] -> ((((10 * 8) + 10) / 18) + 19)
[204] ['7', '13', '13', '18', '18'] -> (((13 * 13) - (18 / 18)) / 7)
[205] ['7', '13', '13', '19', '19'] -> (((13 * 13) - (19 / 19)) / 7)
[206] ['7', '13', '13', '20', '20'] -> (((13 * 13) - (20 / 20)) / 7)
[207] ['7', '13', '14', '14', '20'] -> ((((20 * 7) + 14) / 14) + 13)
[208] ['8', '14', '15', '17', '17'] -> ((((17 * 17) + 15) / 8) - 14)
[209] ['8', '15', '17', '17', '20'] -> (8 / ((20 / 15) - (17 / 17)))
[210] ['8', '9', '19', '19', '20'] -> ((((19 * 19) - 9) / 8) - 20)
[211] ['8', '10', '10', '10', '11'] -> (((10 / 10) + 11) * (10 - 8))
[212] ['9', '9', '9', '18', '19'] -> ((((9 * 9) + 9) / 18) + 19)
[213] ['9', '11', '11', '19', '19'] -> (((19 / 19) + 11) * (11 - 9))
[214] ['9', '11', '11', '20', '20'] -> (((20 / 20) + 11) * (11 - 9))
[215] ['8', '10', '17', '17', '17'] -> ((((17 * 17) - 17) / 8) - 10)
[216] ['8', '10', '17', '17', '19'] -> ((((19 - 17) * 10) - 17) * 8)
[217] ['8', '10', '17', '18', '18'] -> ((((18 + 8) * 17) - 10) / 18)
[218] ['8', '11', '11', '13', '14'] -> (((11 + 8) * (13 - 11)) - 14)
[219] ['10', '10', '12', '13', '13'] -> (((10 / 10) + (13 / 13)) * 12)
[220] ['9', '16', '16', '16', '20'] -> ((((16 * 9) + 16) / 20) + 16)
[221] ['9', '10', '16', '16', '19'] -> (((19 + 9) * 10) - (16 * 16))
[222] ['9', '10', '17', '17', '17'] -> ((((17 * 17) + 17) / 9) - 10)
[223] ['9', '10', '17', '17', '19'] -> ((((17 * 19) - 17) / 9) - 10)
[224] ['9', '11', '11', '11', '11'] -> (((11 / 11) + 11) * (11 - 9))
[225] ['9', '11', '11', '11', '20'] -> (((11 + 11) * (11 - 9)) - 20)
[226] ['10', '10', '10', '11', '16'] -> (((10 + 10) * 10) - (11 * 16))
[227] ['10', '10', '10', '12', '16'] -> (((10 + 10) * (12 - 10)) - 16)
[228] ['9', '9', '16', '16', '18'] -> (((16 / 18) + (16 / 9)) * 9)
[229] ['9', '9', '16', '18', '18'] -> (((18 / 9) - (9 / 18)) * 16)
[230] ['9', '9', '19', '19', '20'] -> ((((9 * 9) + 19) / 20) + 19)
[231] ['10', '10', '11', '11', '16'] -> (((10 * 11) + 10) / (16 - 11))
[232] ['10', '13', '13', '16', '20'] -> (((10 / 20) + (13 / 13)) * 16)
[233] ['10', '11', '17', '19', '19'] -> ((((19 + 19) * 11) - 10) / 17)
[234] ['9', '17', '18', '19', '19'] -> ((((19 * 19) + 17) / 9) - 18)
[235] ['10', '10', '17', '17', '20'] -> (((20 / 10) - (10 / 17)) * 17)
[236] ['10', '13', '13', '18', '20'] -> ((((13 + 20) * 10) - 18) / 13)
[237] ['11', '11', '12', '14', '14'] -> (((11 / 11) + (14 / 14)) * 12)
[238] ['11', '11', '12', '15', '15'] -> (((11 / 11) + (15 / 15)) * 12)
[239] ['11', '11', '12', '19', '19'] -> (((11 / 11) + (19 / 19)) * 12)
[240] ['11', '11', '11', '14', '16'] -> (((11 / 11) + 11) * (16 - 14))
[241] ['11', '11', '11', '15', '17'] -> (((11 / 11) + 11) * (17 - 15))
[242] ['11', '13', '17', '18', '19'] -> ((((11 + 19) * 13) + 18) / 17)
[243] ['10', '16', '17', '17', '20'] -> (((10 / 20) + (17 / 17)) * 16)
[244] ['11', '17', '17', '18', '20'] -> (((17 / 17) + 11) * (20 - 18))
[245] ['11', '14', '14', '16', '17'] -> ((((11 * 14) + 16) / 17) + 14)
[246] ['11', '15', '15', '15', '17'] -> (((15 / 15) + 11) * (17 - 15))
[247] ['11', '11', '18', '18', '20'] -> (((11 * 18) + 18) / (20 - 11))
[248] ['11', '11', '18', '20', '20'] -> (((11 + 11) * (20 - 18)) - 20)
[249] ['11', '11', '12', '20', '20'] -> (((11 / 11) + (20 / 20)) * 12)
[250] ['11', '11', '14', '15', '15'] -> ((((11 * 11) + 14) / 15) + 15)
[251] ['12', '13', '13', '16', '16'] -> (((13 / 13) + (16 / 16)) * 12)
[252] ['12', '13', '13', '20', '20'] -> (((13 / 13) + (20 / 20)) * 12)
[253] ['12', '14', '19', '20', '20'] -> (14 / ((19 / 12) - (20 / 20)))
[254] ['12', '15', '15', '15', '15'] -> (((15 / 15) + (15 / 15)) * 12)
[255] ['11', '18', '18', '18', '20'] -> (((18 / 18) + 11) * (20 - 18))
