[846] ['1', '10', '30', '40'] -> (30 / ((10 / 40) + 1))
[848] ['1', '10', '30', '48'] -> (48 / ((30 / 10) - 1))
[849] ['1', '12', '31', '38'] -> (38 / ((31 / 12) - 1))
[851] ['1', '12', '32', '36'] -> (32 / ((12 / 36) + 1))
[852] ['1', '12', '32', '40'] -> (40 / ((32 / 12) - 1))
[854] ['1', '12', '33', '42'] -> (42 / ((33 / 12) - 1))
[856] ['1', '12', '34', '44'] -> (44 / ((34 / 12) - 1))
[872] ['1', '13', '13', '48'] -> (48 / ((13 / 13) + 1))
[874] ['1', '13', '16', '39'] -> (16 / (1 - (13 / 39)))
[885] ['1', '11', '11', '48'] -> (48 / ((11 / 11) + 1))
[891] ['1', '11', '16', '33'] -> (16 / (1 - (11 / 33)))
[897] ['1', '11', '18', '44'] -> (18 / (1 - (11 / 44)))
[899] ['1', '13', '22', '48'] -> (13 / (1 - (22 / 48)))
[901] ['1', '13', '32', '39'] -> (32 / ((13 / 39) + 1))
[905] ['1', '13', '39', '48'] -> (48 / ((39 / 13) - 1))
[907] ['1', '14', '14', '48'] -> (48 / ((14 / 14) + 1))
[908] ['1', '14', '15', '36'] -> (14 / (1 - (15 / 36)))
[911] ['1', '14', '16', '42'] -> (16 / (1 - (14 / 42)))
[912] ['1', '14', '16', '45'] -> (45 / ((14 / 16) + 1))
[917] ['1', '14', '20', '48'] -> (14 / (1 - (20 / 48)))
[918] ['1', '14', '21', '40'] -> (40 / ((14 / 21) + 1))
[928] ['1', '14', '28', '36'] -> (36 / ((14 / 28) + 1))
[931] ['1', '14', '31', '48'] -> (31 / ((14 / 48) + 1))
[932] ['1', '14', '35', '36'] -> (36 / ((35 / 14) - 1))
[939] ['1', '16', '30', '36'] -> (30 / ((36 / 16) - 1))
[940] ['1', '16', '32', '36'] -> (36 / ((16 / 32) + 1))
[941] ['1', '16', '33', '38'] -> (33 / ((38 / 16) - 1))
[942] ['1', '16', '36', '40'] -> (36 / ((40 / 16) - 1))
[944] ['1', '16', '39', '42'] -> (39 / ((42 / 16) - 1))
[946] ['1', '16', '42', '44'] -> (42 / ((44 / 16) - 1))
[947] ['1', '16', '45', '46'] -> (45 / ((46 / 16) - 1))
[948] ['1', '16', '48', '48'] -> (48 / ((48 / 16) - 1))
[950] ['1', '17', '17', '48'] -> (48 / ((17 / 17) + 1))
[962] ['1', '11', '26', '48'] -> (11 / (1 - (26 / 48)))
[972] ['1', '11', '32', '33'] -> (32 / ((11 / 33) + 1))
[977] ['1', '11', '33', '48'] -> (48 / ((33 / 11) - 1))
[994] ['1', '12', '12', '18'] -> (12 / ((18 / 12) - 1))
[999] ['1', '18', '27', '40'] -> (40 / ((18 / 27) + 1))
[1001] ['1', '18', '28', '39'] -> (28 / ((39 / 18) - 1))
[1002] ['1', '18', '28', '49'] -> (18 / ((49 / 28) - 1))
[1003] ['1', '18', '32', '42'] -> (32 / ((42 / 18) - 1))
[1004] ['1', '18', '33', '48'] -> (33 / ((18 / 48) + 1))
[1005] ['1', '18', '36', '36'] -> (36 / ((18 / 36) + 1))
[1006] ['1', '18', '36', '45'] -> (36 / ((45 / 18) - 1))
[1007] ['1', '18', '40', '48'] -> (40 / ((48 / 18) - 1))
[1010] ['1', '19', '19', '48'] -> (48 / ((19 / 19) + 1))
[1014] ['1', '15', '32', '35'] -> (32 / ((35 / 15) - 1))
[1015] ['1', '15', '32', '45'] -> (32 / ((15 / 45) + 1))
[1016] ['1', '15', '33', '40'] -> (33 / ((15 / 40) + 1))
[1018] ['1', '15', '34', '36'] -> (34 / ((15 / 36) + 1))
[1021] ['1', '15', '40', '40'] -> (40 / ((40 / 15) - 1))
[1022] ['1', '15', '45', '48'] -> (48 / ((45 / 15) - 1))
[1026] ['1', '16', '18', '30'] -> (16 / ((30 / 18) - 1))
[1032] ['1', '16', '21', '35'] -> (16 / ((35 / 21) - 1))
[1038] ['1', '14', '42', '48'] -> (48 / ((42 / 14) - 1))
[1040] ['1', '15', '15', '40'] -> (15 / (1 - (15 / 40)))
[1041] ['1', '15', '15', '48'] -> (48 / ((15 / 15) + 1))
[1043] ['1', '15', '16', '45'] -> (16 / (1 - (15 / 45)))
[1046] ['1', '15', '18', '44'] -> (44 / ((15 / 18) + 1))
[1048] ['1', '15', '20', '42'] -> (42 / ((15 / 20) + 1))
[1058] ['1', '15', '30', '36'] -> (36 / ((15 / 30) + 1))
[1062] ['1', '17', '34', '36'] -> (36 / ((17 / 34) + 1))
[1065] ['1', '18', '18', '48'] -> (48 / ((18 / 18) + 1))
[1066] ['1', '18', '20', '33'] -> (20 / ((33 / 18) - 1))
[1067] ['1', '18', '20', '35'] -> (18 / ((35 / 20) - 1))
[1076] ['1', '19', '36', '38'] -> (36 / ((19 / 38) + 1))
[1079] ['1', '20', '20', '48'] -> (48 / ((20 / 20) + 1))
[1084] ['2', '2', '5', '43'] -> ((43 / 2) + (5 / 2))
[1092] ['2', '2', '6', '42'] -> ((42 / 2) + (6 / 2))
[1093] ['2', '2', '6', '45'] -> (((6 / 2) + 45) / 2)
[1099] ['2', '2', '7', '41'] -> ((41 / 2) + (7 / 2))
[1106] ['2', '2', '9', '39'] -> ((39 / 2) + (9 / 2))
[1115] ['2', '2', '10', '43'] -> (((10 / 2) + 43) / 2)
[1122] ['2', '2', '11', '37'] -> ((11 / 2) + (37 / 2))
[1128] ['2', '2', '12', '42'] -> (((12 / 2) + 42) / 2)
[1135] ['2', '2', '13', '35'] -> ((13 / 2) + (35 / 2))
[1141] ['2', '2', '14', '41'] -> (((14 / 2) + 41) / 2)
[1145] ['2', '2', '15', '33'] -> ((15 / 2) + (33 / 2))
[1150] ['2', '2', '16', '45'] -> (45 / (2 - (2 / 16)))
[1161] ['2', '2', '18', '39'] -> (((18 / 2) + 39) / 2)
[1168] ['2', '2', '20', '38'] -> (((20 / 2) + 38) / 2)
[1177] ['2', '2', '22', '26'] -> ((22 / 2) + (26 / 2))
[1180] ['2', '2', '23', '25'] -> ((23 / 2) + (25 / 2))
[1189] ['2', '2', '25', '46'] -> (((46 / 2) + 25) / 2)
[1192] ['2', '2', '26', '44'] -> (((44 / 2) + 26) / 2)
[1207] ['2', '2', '30', '33'] -> (((30 / 2) + 33) / 2)
[1239] ['1', '20', '30', '40'] -> (40 / ((20 / 30) + 1))
[1240] ['1', '20', '30', '45'] -> (30 / ((45 / 20) - 1))
[1242] ['1', '20', '32', '39'] -> (39 / ((20 / 32) + 1))
[1243] ['1', '20', '34', '48'] -> (34 / ((20 / 48) + 1))
[1246] ['1', '21', '21', '48'] -> (48 / ((21 / 21) + 1))
[1251] ['2', '3', '3', '46'] -> ((3 / 3) + (46 / 2))
[1252] ['2', '3', '3', '47'] -> (((3 / 3) + 47) / 2)
[1253] ['2', '3', '3', '49'] -> ((49 - (3 / 3)) / 2)
[1257] ['2', '3', '5', '12'] -> (12 / (3 - (5 / 2)))
[1261] ['2', '3', '6', '47'] -> ((3 / 6) + (47 / 2))
[1262] ['2', '3', '6', '49'] -> ((49 / 2) - (3 / 6))
[1271] ['2', '3', '8', '39'] -> (39 / (2 - (3 / 8)))
[1274] ['2', '3', '9', '40'] -> (40 / (2 - (3 / 9)))
[1284] ['2', '3', '12', '44'] -> (((12 / 3) + 44) / 2)
[1293] ['1', '21', '28', '42'] -> (42 / ((21 / 28) + 1))
[1294] ['1', '21', '32', '49'] -> (32 / ((49 / 21) - 1))
[1297] ['1', '21', '36', '42'] -> (36 / ((21 / 42) + 1))
[1300] ['1', '22', '22', '48'] -> (48 / ((22 / 22) + 1))
[1306] ['1', '22', '33', '40'] -> (40 / ((22 / 33) + 1))
[1309] ['1', '22', '35', '48'] -> (35 / ((22 / 48) + 1))
[1310] ['1', '22', '36', '44'] -> (36 / ((22 / 44) + 1))
[1312] ['1', '23', '23', '48'] -> (48 / ((23 / 23) + 1))
[1316] ['1', '23', '36', '46'] -> (36 / ((23 / 46) + 1))
[1317] ['1', '25', '25', '48'] -> (48 / ((25 / 25) + 1))
[1321] ['1', '38', '43', '48'] -> (43 / ((38 / 48) + 1))
[1322] ['1', '39', '39', '48'] -> (48 / ((39 / 39) + 1))
[1324] ['1', '40', '40', '48'] -> (48 / ((40 / 40) + 1))
[1326] ['1', '40', '44', '48'] -> (44 / ((40 / 48) + 1))
[1327] ['1', '41', '41', '48'] -> (48 / ((41 / 41) + 1))
[1329] ['1', '42', '42', '48'] -> (48 / ((42 / 42) + 1))
[1331] ['1', '43', '43', '48'] -> (48 / ((43 / 43) + 1))
[1333] ['1', '44', '44', '48'] -> (48 / ((44 / 44) + 1))
[1335] ['1', '45', '45', '48'] -> (48 / ((45 / 45) + 1))
[1337] ['1', '47', '47', '48'] -> (48 / ((47 / 47) + 1))
[1339] ['1', '48', '48', '48'] -> (48 / ((48 / 48) + 1))
[1340] ['1', '48', '49', '49'] -> (48 / ((49 / 49) + 1))
[1348] ['2', '2', '2', '47'] -> (((2 / 2) + 47) / 2)
[1349] ['2', '2', '2', '49'] -> ((49 - (2 / 2)) / 2)
[1357] ['2', '2', '3', '45'] -> ((3 / 2) + (45 / 2))
[1367] ['2', '3', '34', '42'] -> (((42 / 3) + 34) / 2)
[1368] ['2', '3', '36', '36'] -> (((36 / 3) + 36) / 2)
[1373] ['2', '3', '46', '49'] -> (((46 / 2) + 49) / 3)
[1375] ['2', '4', '4', '47'] -> (((4 / 4) + 47) / 2)
[1376] ['2', '4', '4', '49'] -> ((49 - (4 / 4)) / 2)
[1384] ['2', '4', '8', '47'] -> ((4 / 8) + (47 / 2))
[1385] ['2', '4', '8', '49'] -> ((49 / 2) - (4 / 8))
[1394] ['2', '4', '11', '36'] -> (36 / ((11 / 2) - 4))
[1397] ['1', '28', '40', '42'] -> (40 / ((28 / 42) + 1))
[1399] ['1', '29', '29', '48'] -> (48 / ((29 / 29) + 1))
[1401] ['1', '30', '30', '48'] -> (48 / ((30 / 30) + 1))
[1403] ['1', '30', '39', '48'] -> (39 / ((30 / 48) + 1))
[1404] ['1', '30', '40', '42'] -> (42 / ((30 / 40) + 1))
[1407] ['1', '25', '30', '44'] -> (44 / ((25 / 30) + 1))
[1409] ['1', '26', '26', '48'] -> (48 / ((26 / 26) + 1))
[1411] ['1', '26', '37', '48'] -> (37 / ((26 / 48) + 1))
